iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
85	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	-0.0012483
86	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	-0.00120866
87	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	-0.00181639
88	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	-0.00175132
89	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	-0.00238832
90	-0.264536	1.75634	-0.521897	0.247113	2.06841	-0.511255	-0.264536	1.75634	-0.521897	0.247113	2.06841	-0.511255	-0.264536	1.75634	-0.521897	0.247113	2.06841	-0.511255	-0.00283122
91	-0.250629	1.7616	-0.516365	0.22724	2.07684	-0.512171	-0.250629	1.7616	-0.516365	0.22724	2.07684	-0.512171	-0.250629	1.7616	-0.516365	0.22724	2.07684	-0.512171	-0.00245761
92	-0.236787	1.76686	-0.510974	0.206667	2.08437	-0.512596	-0.236787	1.76686	-0.510974	0.206667	2.08437	-0.512596	-0.236787	1.76686	-0.510974	0.206667	2.08437	-0.512596	-0.00188013
93	-0.223022	1.77206	-0.505736	0.185455	2.09103	-0.512461	-0.223022	1.77206	-0.505736	0.185455	2.09103	-0.512461	-0.223022	1.77206	-0.505736	0.185455	2.09103	-0.512461	-0.00193294
94	-0.209328	1.77712	-0.500661	0.163666	2.09682	-0.511706	-0.209328	1.77712	-0.500661	0.163666	2.09682	-0.511706	-0.209328	1.77712	-0.500661	0.163666	2.09682	-0.511706	-0.00218211
95	-0.195686	1.78196	-0.495754	0.14137	2.10175	-0.510278	-0.195686	1.78196	-0.495754	0.14137	2.10175	-0.510278	-0.195686	1.78196	-0.495754	0.14137	2.10175	-0.510278	-0.00295506
96	-0.182066	1.78653	-0.491024	0.118646	2.10582	-0.508135	-0.182066	1.78653	-0.491024	0.118646	2.10582	-0.508135	-0.182066	1.78653	-0.491024	0.118646	2.10582	-0.508135	-0.00282199
97	-0.168427	1.79076	-0.486481	0.0955825	2.10906	-0.505252	-0.168427	1.79076	-0.486481	0.0955825	2.10906	-0.505252	-0.168427	1.79076	-0.486481	0.0955825	2.10906	-0.505252	-0.00288999
98	-0.154719	1.7946	-0.482142	0.0722776	2.11147	-0.501617	-0.154719	1.7946	-0.482142	0.0722776	2.11147	-0.501617	-0.154719	1.7946	-0.482142	0.0722776	2.11147	-0.501617	-0.0028157
99	-0.14089	1.79801	-0.47803	0.0488407	2.11307	-0.49724	-0.14089	1.79801	-0.47803	0.0488407	2.11307	-0.49724	-0.14089	1.79801	-0.47803	0.0488407	2.11307	-0.49724	-0.00288399
100	-0.126881	1.80095	-0.474175	0.0253903	2.1139	-0.492151	-0.126881	1.80095	-0.474175	0.0253903	2.1139	-0.492151	-0.126881	1.80095	-0.474175	0.0253903	2.1139	-0.492151	-0.00315944
101	-0.112636	1.8034	-0.470615	0.00205225	2.11399	-0.486405	-0.112636	1.8034	-0.470615	0.00205225	2.11399	-0.486405	-0.112636	1.8034	-0.470615	0.00205225	2.11399	-0.486405	-0.00317435
102	-0.0981017	1.80535	-0.467397	-0.0210425	2.11336	-0.480079	-0.0981017	1.80535	-0.467397	-0.0210425	2.11336	-0.480079	-0.0981017	1.80535	-0.467397	-0.0210425	2.11336	-0.480079	-0.00378573
103	-0.0832292	1.80679	-0.464571	-0.0437622	2.11207	-0.473275	-0.0832292	1.80679	-0.464571	-0.0437622	2.11207	-0.473275	-0.0832292	1.80679	-0.464571	-0.0437622	2.11207	-0.473275	-0.00457362
104	-0.0679799	1.80772	-0.46219	-0.0659778	2.11015	-0.466119	-0.0679799	1.80772	-0.46219	-0.0659778	2.11015	-0.466119	-0.0679799	1.80772	-0.46219	-0.0659778	2.11015	-0.466119	-0.00506084
105	-0.052326	1.80815	-0.460307	-0.0875678	2.10766	-0.458751	-0.052326	1.80815	-0.460307	-0.0875678	2.10766	-0.458751	-0.052326	1.80815	-0.460307	-0.0875678	2.10766	-0.458751	-0.00540172
106	-0.0362541	1.8081	-0.458972	-0.108422	2.10461	-0.451331	-0.0362541	1.8081	-0.458972	-0.108422	2.10461	-0.451331	-0.0362541	1.8081	-0.458972	-0.108422	2.10461	-0.451331	-0.00488629
107	-0.0197662	1.80758	-0.458227	-0.128447	2.10105	-0.444027	-0.0197662	1.80758	-0.458227	-0.128447	2.10105	-0.444027	-0.0197662	1.80758	-0.458227	-0.128447	2.10105	-0.444027	-0.00507255
108	-0.00288097	1.8066	-0.458101	-0.147569	2.09699	-0.437011	-0.00288097	1.8066	-0.458101	-0.147569	2.09699	-0.437011	-0.00288097	1.8066	-0.458101	-0.147569	2.09699	-0.437011	-0.00514014
109	0.0143661	1.80519	-0.458611	-0.165734	2.09244	-0.430452	0.0143661	1.80519	-0.458611	-0.165734	2.09244	-0.430452	0.0143661	1.80519	-0.458611	-0.165734	2.09244	-0.430452	-0.00515911
110	0.0319239	1.80334	-0.459757	-0.182913	2.08742	-0.424513	0.0319239	1.80334	-0.459757	-0.182913	2.08742	-0.424513	0.0319239	1.80334	-0.459757	-0.182913	2.08742	-0.424513	-0.00541389
111	0.0497275	1.80109	-0.461519	-0.199103	2.08191	-0.419343	0.0497275	1.80109	-0.461519	-0.199103	2.08191	-0.419343	0.0497275	1.80109	-0.461519	-0.199103	2.08191	-0.419343	-0.00477696
112	0.0677012	1.79844	-0.463863	-0.214319	2.0759	-0.415071	0.0677012	1.79844	-0.463863	-0.214319	2.0759	-0.415071	0.0677012	1.79844	-0.463863	-0.214319	2.0759	-0.415071	-0.00436962
113	0.0857619	1.79542	-0.466733	-0.228601	2.0694	-0.411806	0.0857619	1.79542	-0.466733	-0.228601	2.0694	-0.411806	0.0857619	1.79542	-0.466733	-0.228601	2.0694	-0.411806	-0.00395973
114	0.103823	1.79205	-0.47006	-0.242006	2.06238	-0.409634	0.103823	1.79205	-0.47006	-0.242006	2.06238	-0.409634	0.103823	1.79205	-0.47006	-0.242006	2.06238	-0.409634	-0.00390299
115	0.121798	1.78837	-0.473764	-0.254606	2.05484	-0.408613	0.121798	1.78837	-0.473764	-0.254606	2.05484	-0.408613	0.121798	1.78837	-0.473764	-0.254606	2.05484	-0.408613	-0.00282649
116	0.139606	1.78442	-0.477753	-0.266481	2.04677	-0.408779	0.139606	1.78442	-0.477753	-0.266481	2.04677	-0.408779	0.139606	1.78442	-0.477753	-0.266481	2.04677	-0.408779	-0.00191522
117	0.157173	1.78026	-0.481931	-0.277721	2.03818	-0.410142	0.157173	1.78026	-0.481931	-0.277721	2.03818	-0.410142	0.157173	1.78026	-0.481931	-0.277721	2.03818	-0.410142	-0.00171109
118	0.174432	1.77594	-0.486199	-0.288414	2.02907	-0.412693	0.174432	1.77594	-0.486199	-0.288414	2.02907	-0.412693	0.174432	1.77594	-0.486199	-0.288414	2.02907	-0.412693	-0.000554776
119	0.191332	1.77154	-0.49046	-0.29865	2.01945	-0.416398	0.191332	1.77154	-0.49046	-0.29865	2.01945	-0.416398	0.191332	1.77154	-0.49046	-0.29865	2.01945	-0.416398	-0.000218937
120	0.207829	1.76714	-0.494621	-0.30851	2.00933	-0.421211	0.207829	1.76714	-0.494621	-0.30851	2.00933	-0.421211	0.207829	1.76714	-0.494621	-0.30851	2.00933	-0.421211	0.000444956
121	0.223893	1.76281	-0.498592	-0.318068	1.99872	-0.427067	0.223893	1.76281	-0.498592	-0.318068	1.99872	-0.427067	0.223893	1.76281	-0.498592	-0.318068	1.99872	-0.427067	0.574537
122	0.239503	1.75867	-0.502292	-0.327385	1.98764	-0.433886	0.239503	1.75867	-0.502292	-0.327385	1.98764	-0.433886	0.239503	1.75867	-0.502292	-0.327385	1.98764	-0.433886	0.576343
123	0.254644	1.75478	-0.50565	-0.336509	1.97609	-0.441579	0.254644	1.75478	-0.50565	-0.336509	1.97609	-0.441579	0.254644	1.75478	-0.50565	-0.336509	1.97609	-0.441579	0.57791
124	0.269308	1.75124	-0.508603	-0.345473	1.9641	-0.450042	0.269308	1.75124	-0.508603	-0.345473	1.9641	-0.450042	0.269308	1.75124	-0.508603	-0.345473	1.9641	-0.450042	0.578799
